,O*NET-SOC Code,Title,Element Name,ability_score
105,11-3012.00,Administrative Services Managers,Problem Sensitivity,-0.004203801318570839
106,11-3012.00,Administrative Services Managers,Selective Attention,0.12592746916040956
108,11-3012.00,Administrative Services Managers,Speed of Closure,-0.33502832571433316
109,11-3012.00,Administrative Services Managers,Time Sharing,1.2198506348559917
111,11-3012.00,Administrative Services Managers,Written Comprehension,0.5329799683331701
112,11-3013.00,Facilities Managers,Deductive Reasoning,0.30255319076129417
116,11-3013.00,Facilities Managers,Mathematical Reasoning,0.03853786963187496
117,11-3013.00,Facilities Managers,Memorization,0.47222359985485884
118,11-3013.00,Facilities Managers,Perceptual Speed,-0.18850377033954677
119,11-3013.00,Facilities Managers,Problem Sensitivity,0.24503299023568087
120,11-3013.00,Facilities Managers,Selective Attention,-0.752843911157809
122,11-3013.00,Facilities Managers,Speed of Closure,-0.021105355257855313
123,11-3013.00,Facilities Managers,Time Sharing,0.25420135185249865
125,11-3013.00,Facilities Managers,Written Comprehension,0.32276969382518483
126,11-3013.01,Security Managers,Deductive Reasoning,0.9186200440250697
130,11-3013.01,Security Managers,Mathematical Reasoning,0.12069615020359974
131,11-3013.01,Security Managers,Memorization,0.9877438845635367
132,11-3013.01,Security Managers,Perceptual Speed,0.5914694030016401
133,11-3013.01,Security Managers,Problem Sensitivity,2.1890799643588443
134,11-3013.01,Security Managers,Selective Attention,2.423548473950753
136,11-3013.01,Security Managers,Speed of Closure,2.497138139778296
137,11-3013.01,Security Managers,Time Sharing,1.6343975920209195
139,11-3013.01,Security Managers,Written Comprehension,0.7378088598137507
140,11-3021.00,Computer and Information Systems Managers,Deductive Reasoning,0.79714777588236
144,11-3021.00,Computer and Information Systems Managers,Mathematical Reasoning,0.4715211744652451
145,11-3021.00,Computer and Information Systems Managers,Memorization,0.46699439888078076
146,11-3021.00,Computer and Information Systems Managers,Perceptual Speed,-0.18850377033954677
147,11-3021.00,Computer and Information Systems Managers,Problem Sensitivity,0.760122359447801
148,11-3021.00,Computer and Information Systems Managers,Selective Attention,-0.5243633522750724
150,11-3021.00,Computer and Information Systems Managers,Speed of Closure,0.5712234238165083
151,11-3021.00,Computer and Information Systems Managers,Time Sharing,-0.6409467479596802
153,11-3021.00,Computer and Information Systems Managers,Written Comprehension,0.8524995855853075
154,11-3031.00,Financial Managers,Deductive Reasoning,1.424754494619693
158,11-3031.00,Financial Managers,Mathematical Reasoning,1.4665385184416528
159,11-3031.00,Financial Managers,Memorization,0.31189432470622735
160,11-3031.00,Financial Managers,Perceptual Speed,-0.1958370368927962
161,11-3031.00,Financial Managers,Problem Sensitivity,0.632513122172024
162,11-3031.00,Financial Managers,Selective Attention,-1.1891783118019246
164,11-3031.00,Financial Managers,Speed of Closure,1.2199644675646208
165,11-3031.00,Financial Managers,Time Sharing,-1.2127655753206166
167,11-3031.00,Financial Managers,Written Comprehension,1.1708420253002005
168,11-3031.01,Treasurers and Controllers,Deductive Reasoning,1.424754494619693
172,11-3031.01,Treasurers and Controllers,Mathematical Reasoning,2.2782314548005886
173,11-3031.01,Treasurers and Controllers,Memorization,0.8113816819000417
174,11-3031.01,Treasurers and Controllers,Perceptual Speed,0.7539294620274768
175,11-3031.01,Treasurers and Controllers,Problem Sensitivity,1.4194367520393152
176,11-3031.01,Treasurers and Controllers,Selective Attention,-1.3970321535633028
178,11-3031.01,Treasurers and Controllers,Speed of Closure,1.2134657746742048
179,11-3031.01,Treasurers and Controllers,Time Sharing,-1.0717632089379883
181,11-3031.01,Treasurers and Controllers,Written Comprehension,0.9629861058667046
182,11-3031.03,Investment Fund Managers,Deductive Reasoning,1.314822091950541
186,11-3031.03,Investment Fund Managers,Mathematical Reasoning,2.2782314548005886
187,11-3031.03,Investment Fund Managers,Memorization,1.342934894123583
188,11-3031.03,Investment Fund Managers,Perceptual Speed,0.4352578077844902
189,11-3031.03,Investment Fund Managers,Problem Sensitivity,0.7435065733441844
190,11-3031.03,Investment Fund Managers,Selective Attention,0.6019286334994455
192,11-3031.03,Investment Fund Managers,Speed of Closure,1.2134657746742048
193,11-3031.03,Investment Fund Managers,Time Sharing,0.6419578594047268
195,11-3031.03,Investment Fund Managers,Written Comprehension,0.8524995855853075
196,11-3051.00,Industrial Production Managers,Deductive Reasoning,1.0502150011796716
200,11-3051.00,Industrial Production Managers,Mathematical Reasoning,1.0249679124093594
201,11-3051.00,Industrial Production Managers,Memorization,1.1724432095347606
202,11-3051.00,Industrial Production Managers,Perceptual Speed,0.5914694030016401
203,11-3051.00,Industrial Production Managers,Problem Sensitivity,0.887731596723578
204,11-3051.00,Industrial Production Managers,Selective Attention,0.12592746916040956
206,11-3051.00,Industrial Production Managers,Speed of Closure,0.9015285159342428
207,11-3051.00,Industrial Production Managers,Time Sharing,0.8450012669957117
209,11-3051.00,Industrial Production Managers,Written Comprehension,0.5329799683331701
210,11-3051.01,Quality Control Systems Managers,Deductive Reasoning,1.0502150011796716
214,11-3051.01,Quality Control Systems Managers,Mathematical Reasoning,0.7465077858914525
215,11-3051.01,Quality Control Systems Managers,Memorization,1.342934894123583
216,11-3051.01,Quality Control Systems Managers,Perceptual Speed,1.4658204151198557
217,11-3051.01,Quality Control Systems Managers,Problem Sensitivity,1.5668254210928376
218,11-3051.01,Quality Control Systems Managers,Selective Attention,0.12592746916040956
220,11-3051.01,Quality Control Systems Managers,Speed of Closure,1.7344443213892111
221,11-3051.01,Quality Control Systems Managers,Time Sharing,0.6419578594047268
223,11-3051.01,Quality Control Systems Managers,Written Comprehension,0.633880900097003
224,11-3051.02,Geothermal Production Managers,Deductive Reasoning,0.79714777588236
228,11-3051.02,Geothermal Production Managers,Mathematical Reasoning,1.2403982129924693
229,11-3051.02,Geothermal Production Managers,Memorization,0.31189432470622735
230,11-3051.02,Geothermal Production Managers,Perceptual Speed,0.760698631153553
231,11-3051.02,Geothermal Production Managers,Problem Sensitivity,0.887731596723578
232,11-3051.02,Geothermal Production Managers,Selective Attention,0.36392805132992756
234,11-3051.02,Geothermal Production Managers,Speed of Closure,0.40988434684958647
235,11-3051.02,Geothermal Production Managers,Time Sharing,0.07523680990531637
237,11-3051.02,Geothermal Production Managers,Written Comprehension,0.30477569432730145
238,11-3051.03,Biofuels Production Managers,Deductive Reasoning,0.4302002992012578
242,11-3051.03,Biofuels Production Managers,Mathematical Reasoning,0.8443451276409872
243,11-3051.03,Biofuels Production Managers,Memorization,0.6350194792365467
244,11-3051.03,Biofuels Production Managers,Perceptual Speed,1.6350496432717685
245,11-3051.03,Biofuels Production Managers,Problem Sensitivity,0.24503299023568087
246,11-3051.03,Biofuels Production Managers,Selective Attention,2.145881128086316
248,11-3051.03,Biofuels Production Managers,Speed of Closure,1.2134657746742048
249,11-3051.03,Biofuels Production Managers,Time Sharing,1.6343975920209195
251,11-3051.03,Biofuels Production Managers,Written Comprehension,0.633880900097003
252,11-3051.04,Biomass Power Plant Managers,Deductive Reasoning,1.0502150011796716
256,11-3051.04,Biomass Power Plant Managers,Mathematical Reasoning,0.5583590517577315
257,11-3051.04,Biomass Power Plant Managers,Memorization,0.9877438845635367
258,11-3051.04,Biomass Power Plant Managers,Perceptual Speed,1.105926256583455
259,11-3051.04,Biomass Power Plant Managers,Problem Sensitivity,1.4194367520393152
260,11-3051.04,Biomass Power Plant Managers,Selective Attention,0.35440802804314736
262,11-3051.04,Biomass Power Plant Managers,Speed of Closure,1.2199644675646208
263,11-3051.04,Biomass Power Plant Managers,Time Sharing,0.06948825189125575
265,11-3051.04,Biomass Power Plant Managers,Written Comprehension,0.7431902428411552
266,11-3051.06,Hydroelectric Production Managers,Deductive Reasoning,0.5578474076412219
270,11-3051.06,Hydroelectric Production Managers,Mathematical Reasoning,0.950335581202983
271,11-3051.06,Hydroelectric Production Managers,Memorization,0.9581446337668664
272,11-3051.06,Hydroelectric Production Managers,Perceptual Speed,2.4204468303357736
273,11-3051.06,Hydroelectric Production Managers,Problem Sensitivity,0.7562940823295278
274,11-3051.06,Hydroelectric Production Managers,Selective Attention,1.1175965615333996
276,11-3051.06,Hydroelectric Production Managers,Speed of Closure,1.3824317898250176
277,11-3051.06,Hydroelectric Production Managers,Time Sharing,1.4228940424469765
279,11-3051.06,Hydroelectric Production Managers,Written Comprehension,0.9629861058667046
280,11-3061.00,Purchasing Managers,Deductive Reasoning,0.6756755077396502
284,11-3061.00,Purchasing Managers,Mathematical Reasoning,1.0249679124093594
285,11-3061.00,Purchasing Managers,Memorization,0.6350194792365467
286,11-3061.00,Purchasing Managers,Perceptual Speed,0.10981698441542742
287,11-3061.00,Purchasing Managers,Problem Sensitivity,0.240540081673263
288,11-3061.00,Purchasing Managers,Selective Attention,0.6019286334994455
290,11-3061.00,Purchasing Managers,Speed of Closure,0.5712234238165083
291,11-3061.00,Purchasing Managers,Time Sharing,0.06948825189125575
293,11-3061.00,Purchasing Managers,Written Comprehension,0.529952940380255
294,11-3071.00,"Transportation, Storage, and Distribution Managers",Deductive Reasoning,0.4302002992012578
298,11-3071.00,"Transportation, Storage, and Distribution Managers",Mathematical Reasoning,0.21100754258778562
299,11-3071.00,"Transportation, Storage, and Distribution Managers",Memorization,0.31189432470622735
300,11-3071.00,"Transportation, Storage, and Distribution Managers",Perceptual Speed,0.12908308115887573
301,11-3071.00,"Transportation, Storage, and Distribution Managers",Problem Sensitivity,0.3746361218438915
302,11-3071.00,"Transportation, Storage, and Distribution Managers",Selective Attention,-0.5514588031682172
304,11-3071.00,"Transportation, Storage, and Distribution Managers",Speed of Closure,0.5635964856326175
305,11-3071.00,"Transportation, Storage, and Distribution Managers",Time Sharing,0.25420135185249865
307,11-3071.00,"Transportation, Storage, and Distribution Managers",Written Comprehension,0.43207903656933705
308,11-3071.04,Supply Chain Managers,Deductive Reasoning,0.5578474076412219
312,11-3071.04,Supply Chain Managers,Mathematical Reasoning,0.9346565200251731
313,11-3071.04,Supply Chain Managers,Memorization,-0.011230829824092433
314,11-3071.04,Supply Chain Managers,Perceptual Speed,0.12908308115887573
315,11-3071.04,Supply Chain Managers,Problem Sensitivity,0.632513122172024
316,11-3071.04,Supply Chain Managers,Selective Attention,0.12592746916040956
318,11-3071.04,Supply Chain Managers,Speed of Closure,0.1142840799591424
319,11-3071.04,Supply Chain Managers,Time Sharing,0.43891445181374206
321,11-3071.04,Supply Chain Managers,Written Comprehension,0.7431902428411552
322,11-3111.00,Compensation and Benefits Managers,Deductive Reasoning,-0.15185431898255877
326,11-3111.00,Compensation and Benefits Managers,Mathematical Reasoning,0.950335581202983
327,11-3111.00,Compensation and Benefits Managers,Memorization,-0.8276768309655872
328,11-3111.00,Compensation and Benefits Managers,Perceptual Speed,-1.4002284360170236
329,11-3111.00,Compensation and Benefits Managers,Problem Sensitivity,-0.004203801318570839
330,11-3111.00,Compensation and Benefits Managers,Selective Attention,-2.229668036414816
332,11-3111.00,Compensation and Benefits Managers,Speed of Closure,-0.55702186965847
333,11-3111.00,Compensation and Benefits Managers,Time Sharing,-1.353767941703245
335,11-3111.00,Compensation and Benefits Managers,Written Comprehension,0.7431902428411552
336,11-3121.00,Human Resources Managers,Deductive Reasoning,1.0502150011796716
340,11-3121.00,Human Resources Managers,Mathematical Reasoning,0.652433418824592
341,11-3121.00,Human Resources Managers,Memorization,1.5205303989036059
342,11-3121.00,Human Resources Managers,Perceptual Speed,-0.4914240887314701
343,11-3121.00,Human Resources Managers,Problem Sensitivity,0.632513122172024
344,11-3121.00,Human Resources Managers,Selective Attention,0.5653131593195194
346,11-3121.00,Human Resources Managers,Speed of Closure,1.5513978049758308
347,11-3121.00,Human Resources Managers,Time Sharing,-0.29760598581798003
349,11-3121.00,Human Resources Managers,Written Comprehension,1.2023735664763981
350,11-3131.00,Training and Development Managers,Deductive Reasoning,0.5578474076412219
354,11-3131.00,Training and Development Managers,Mathematical Reasoning,0.03853786963187496
355,11-3131.00,Training and Development Managers,Memorization,1.342934894123583
356,11-3131.00,Training and Development Managers,Perceptual Speed,-0.03337697786696023
357,11-3131.00,Training and Development Managers,Problem Sensitivity,0.4942697817899326
358,11-3131.00,Training and Development Managers,Selective Attention,-0.752843911157809
360,11-3131.00,Training and Development Managers,Speed of Closure,0.9015285159342428
361,11-3131.00,Training and Development Managers,Time Sharing,-0.2715205480371939
363,11-3131.00,Training and Development Managers,Written Comprehension,0.43207903656933705
364,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Deductive Reasoning,0.7935036078380787
368,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Mathematical Reasoning,0.8333456631839389
369,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Memorization,0.803044559592313
370,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Perceptual Speed,1.105926256583455
371,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Problem Sensitivity,0.7562940823295278
372,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Selective Attention,-0.0937653759191448
374,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Speed of Closure,0.7325625007834302
375,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Time Sharing,0.25420135185249865
377,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Written Comprehension,0.32276969382518483
378,11-9021.00,Construction Managers,Deductive Reasoning,1.1818099583342736
382,11-9021.00,Construction Managers,Mathematical Reasoning,1.4665385184416528
383,11-9021.00,Construction Managers,Memorization,0.8113816819000417
384,11-9021.00,Construction Managers,Perceptual Speed,0.4352578077844902
385,11-9021.00,Construction Managers,Problem Sensitivity,1.1615597517111829
386,11-9021.00,Construction Managers,Selective Attention,0.8494492389557436
388,11-9021.00,Construction Managers,Speed of Closure,1.5513978049758308
389,11-9021.00,Construction Managers,Time Sharing,1.4228940424469765
391,11-9021.00,Construction Managers,Written Comprehension,0.633880900097003
392,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Deductive Reasoning,0.9186200440250697
396,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Mathematical Reasoning,0.3013189349719715
397,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Memorization,1.5205303989036059
398,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Perceptual Speed,-0.6278488818877812
399,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Problem Sensitivity,0.632513122172024
400,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Selective Attention,0.35440802804314736
402,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Speed of Closure,0.5712234238165083
403,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Time Sharing,0.6419578594047268
405,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Written Comprehension,0.633880900097003
406,11-9032.00,"Education Administrators, Kindergarten through Secondary",Deductive Reasoning,2.3054284386543378
410,11-9032.00,"Education Administrators, Kindergarten through Secondary",Mathematical Reasoning,0.9346565200251731
411,11-9032.00,"Education Administrators, Kindergarten through Secondary",Memorization,1.5205303989036059
412,11-9032.00,"Education Administrators, Kindergarten through Secondary",Perceptual Speed,-0.1958370368927962
413,11-9032.00,"Education Administrators, Kindergarten through Secondary",Problem Sensitivity,1.59091166462864
414,11-9032.00,"Education Administrators, Kindergarten through Secondary",Selective Attention,0.12592746916040956
416,11-9032.00,"Education Administrators, Kindergarten through Secondary",Speed of Closure,1.3824317898250176
417,11-9032.00,"Education Administrators, Kindergarten through Secondary",Time Sharing,0.8209224013519092
419,11-9032.00,"Education Administrators, Kindergarten through Secondary",Written Comprehension,1.912484894791823
420,11-9033.00,"Education Administrators, Postsecondary",Deductive Reasoning,0.6756755077396502
424,11-9033.00,"Education Administrators, Postsecondary",Mathematical Reasoning,0.5583590517577315
425,11-9033.00,"Education Administrators, Postsecondary",Memorization,0.8113816819000417
426,11-9033.00,"Education Administrators, Postsecondary",Perceptual Speed,-0.4914240887314701
427,11-9033.00,"Education Administrators, Postsecondary",Problem Sensitivity,0.7562940823295278
428,11-9033.00,"Education Administrators, Postsecondary",Selective Attention,0.6019286334994455
430,11-9033.00,"Education Administrators, Postsecondary",Speed of Closure,0.7325625007834302
431,11-9033.00,"Education Administrators, Postsecondary",Time Sharing,0.25420135185249865
433,11-9033.00,"Education Administrators, Postsecondary",Written Comprehension,1.0669140655834521
434,11-9041.00,Architectural and Engineering Managers,Deductive Reasoning,0.9211507162780423
438,11-9041.00,Architectural and Engineering Managers,Mathematical Reasoning,2.1565619400607834
439,11-9041.00,Architectural and Engineering Managers,Memorization,0.9877438845635367
440,11-9041.00,Architectural and Engineering Managers,Perceptual Speed,0.2790462125673403
441,11-9041.00,Architectural and Engineering Managers,Problem Sensitivity,0.7562940823295278
442,11-9041.00,Architectural and Engineering Managers,Selective Attention,0.6019286334994455
444,11-9041.00,Architectural and Engineering Managers,Speed of Closure,1.0574971453042241
445,11-9041.00,Architectural and Engineering Managers,Time Sharing,-0.10101614807296883
447,11-9041.00,Architectural and Engineering Managers,Written Comprehension,1.413235492835358
448,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Deductive Reasoning,1.1818099583342736
452,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Mathematical Reasoning,1.4665385184416528
453,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Memorization,0.9581446337668664
454,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Perceptual Speed,0.753929462027476
455,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Problem Sensitivity,0.760122359447801
456,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Selective Attention,1.633264489567355
458,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Speed of Closure,0.40988434684958647
459,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Time Sharing,1.0324259509258522
461,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Written Comprehension,0.7431902428411552
462,11-9051.00,Food Service Managers,Deductive Reasoning,0.4302002992012578
466,11-9051.00,Food Service Managers,Mathematical Reasoning,0.21100754258778562
467,11-9051.00,Food Service Managers,Memorization,0.8113816819000417
468,11-9051.00,Food Service Managers,Perceptual Speed,0.12908308115887573
469,11-9051.00,Food Service Managers,Problem Sensitivity,0.5087321620145204
470,11-9051.00,Food Service Managers,Selective Attention,-0.10255308972232711
472,11-9051.00,Food Service Managers,Speed of Closure,-0.04931148759472977
473,11-9051.00,Food Service Managers,Time Sharing,0.6419578594047268
475,11-9051.00,Food Service Managers,Written Comprehension,0.2281750702965913
476,11-9071.00,Gambling Managers,Deductive Reasoning,0.3068300268688186
480,11-9071.00,Gambling Managers,Mathematical Reasoning,0.4715211744652451
481,11-9071.00,Gambling Managers,Memorization,1.1724432095347606
482,11-9071.00,Gambling Managers,Perceptual Speed,0.5914694030016401
483,11-9071.00,Gambling Managers,Problem Sensitivity,0.4942697817899326
484,11-9071.00,Gambling Managers,Selective Attention,1.0779297978384803
486,11-9071.00,Gambling Managers,Speed of Closure,1.5513978049758308
487,11-9071.00,Gambling Managers,Time Sharing,1.6343975920209195
489,11-9071.00,Gambling Managers,Written Comprehension,-0.3435968763651282
490,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Deductive Reasoning,0.06957950315258894
494,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Mathematical Reasoning,0.12069615020359974
495,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Memorization,0.015901816739521613
496,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Perceptual Speed,-0.888201540583032
497,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Problem Sensitivity,0.11542985862747027
498,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Selective Attention,-0.0937653759191448
500,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Speed of Closure,-0.6890265689950422
501,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Time Sharing,-0.10101614807296883
503,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Written Comprehension,0.02322005265130617
504,11-9081.00,Lodging Managers,Deductive Reasoning,0.30255319076129417
508,11-9081.00,Lodging Managers,Mathematical Reasoning,0.5426799905799216
509,11-9081.00,Lodging Managers,Memorization,0.6350194792365467
510,11-9081.00,Lodging Managers,Perceptual Speed,0.12908308115887573
511,11-9081.00,Lodging Managers,Problem Sensitivity,0.4942697817899326
512,11-9081.00,Lodging Managers,Selective Attention,0.12592746916040956
514,11-9081.00,Lodging Managers,Speed of Closure,1.0574971453042241
515,11-9081.00,Lodging Managers,Time Sharing,0.8450012669957117
517,11-9081.00,Lodging Managers,Written Comprehension,0.5329799683331701
518,11-9111.00,Medical and Health Services Managers,Deductive Reasoning,0.79714777588236
522,11-9111.00,Medical and Health Services Managers,Mathematical Reasoning,0.8153991685434915
523,11-9111.00,Medical and Health Services Managers,Memorization,0.8113816819000417
524,11-9111.00,Medical and Health Services Managers,Perceptual Speed,-0.34363056281213333
525,11-9111.00,Medical and Health Services Managers,Problem Sensitivity,0.760122359447801
526,11-9111.00,Medical and Health Services Managers,Selective Attention,-0.3134582209986992
528,11-9111.00,Medical and Health Services Managers,Speed of Closure,-0.15649479047485304
529,11-9111.00,Medical and Health Services Managers,Time Sharing,-0.10101614807296883
531,11-9111.00,Medical and Health Services Managers,Written Comprehension,0.9629861058667046
532,11-9121.00,Natural Sciences Managers,Deductive Reasoning,1.8094166770716067
536,11-9121.00,Natural Sciences Managers,Mathematical Reasoning,1.4363864777150952
537,11-9121.00,Natural Sciences Managers,Memorization,-0.42192043462789586
538,11-9121.00,Natural Sciences Managers,Perceptual Speed,-1.0292258973762922
539,11-9121.00,Natural Sciences Managers,Problem Sensitivity,0.7562940823295278
540,11-9121.00,Natural Sciences Managers,Selective Attention,-0.3134582209986992
542,11-9121.00,Natural Sciences Managers,Speed of Closure,-0.55702186965847
543,11-9121.00,Natural Sciences Managers,Time Sharing,-1.2158025493657807
545,11-9121.00,Natural Sciences Managers,Written Comprehension,1.4999472310699022
546,11-9121.01,Clinical Research Coordinators,Deductive Reasoning,0.79714777588236
550,11-9121.01,Clinical Research Coordinators,Mathematical Reasoning,0.4715211744652451
551,11-9121.01,Clinical Research Coordinators,Memorization,0.803044559592313
552,11-9121.01,Clinical Research Coordinators,Perceptual Speed,0.2790462125673403
553,11-9121.01,Clinical Research Coordinators,Problem Sensitivity,0.760122359447801
554,11-9121.01,Clinical Research Coordinators,Selective Attention,-0.5243633522750724
556,11-9121.01,Clinical Research Coordinators,Speed of Closure,1.0574971453042241
557,11-9121.01,Clinical Research Coordinators,Time Sharing,0.8450012669957117
559,11-9121.01,Clinical Research Coordinators,Written Comprehension,0.7431902428411552
560,11-9121.02,Water Resource Specialists,Deductive Reasoning,0.7935036078380787
564,11-9121.02,Water Resource Specialists,Mathematical Reasoning,0.950335581202983
565,11-9121.02,Water Resource Specialists,Memorization,0.8113816819000417
566,11-9121.02,Water Resource Specialists,Perceptual Speed,0.760698631153553
