,O*NET-SOC Code,Title,Element Name,activity_score
55,11-1011.03,Chief Sustainability Officers,Getting Information,1.5217999267071638
56,11-1011.03,Chief Sustainability Officers,"Guiding, Directing, and Motivating Subordinates",1.7996714152436442
57,11-1011.03,Chief Sustainability Officers,Handling and Moving Objects,-1.2686325739569333
58,11-1011.03,Chief Sustainability Officers,"Identifying Objects, Actions, and Events",0.2923264134035222
59,11-1011.03,Chief Sustainability Officers,"Inspecting Equipment, Structures, or Materials",-0.9619199547198403
60,11-1011.03,Chief Sustainability Officers,Interpreting the Meaning of Information for Others,1.8449535724273947
61,11-1011.03,Chief Sustainability Officers,"Judging the Qualities of Objects, Services, or People",1.2487887918511387
62,11-1011.03,Chief Sustainability Officers,Making Decisions and Solving Problems,1.4814808304377578
63,11-1011.03,Chief Sustainability Officers,"Monitoring Processes, Materials, or Surroundings",-0.19105973738091198
64,11-1011.03,Chief Sustainability Officers,Monitoring and Controlling Resources,2.640605334121529
65,11-1011.03,Chief Sustainability Officers,"Operating Vehicles, Mechanized Devices, or Equipment",-0.6883937139938913
66,11-1011.03,Chief Sustainability Officers,"Organizing, Planning, and Prioritizing Work",1.9216069367001163
67,11-1011.03,Chief Sustainability Officers,Performing Administrative Activities,1.0489195872581973
68,11-1011.03,Chief Sustainability Officers,Performing General Physical Activities,-1.03743445259392
69,11-1011.03,Chief Sustainability Officers,Performing for or Working Directly with the Public,0.8605947396017276
70,11-1011.03,Chief Sustainability Officers,Processing Information,0.6008939618839633
71,11-1011.03,Chief Sustainability Officers,Providing Consultation and Advice to Others,1.9111450817265807
72,11-1011.03,Chief Sustainability Officers,Repairing and Maintaining Electronic Equipment,-0.7370256701981824
73,11-1011.03,Chief Sustainability Officers,Repairing and Maintaining Mechanical Equipment,-0.8135589738605458
74,11-1011.03,Chief Sustainability Officers,Resolving Conflicts and Negotiating with Others,1.047346543013444
75,11-1011.03,Chief Sustainability Officers,Scheduling Work and Activities,1.4025857625262115
76,11-1011.03,Chief Sustainability Officers,Selling or Influencing Others,3.127663057996497
77,11-1011.03,Chief Sustainability Officers,Staffing Organizational Units,2.212101208635833
78,11-1011.03,Chief Sustainability Officers,Thinking Creatively,1.18065263486695
79,11-1011.03,Chief Sustainability Officers,Training and Teaching Others,0.515810500983591
80,11-1011.03,Chief Sustainability Officers,Updating and Using Relevant Knowledge,1.0878779193215933
81,11-1011.03,Chief Sustainability Officers,Working with Computers,0.15340135057285187
82,11-1021.00,General and Operations Managers,Analyzing Data or Information,0.544435619236793
83,11-1021.00,General and Operations Managers,Assisting and Caring for Others,-0.10812500864161409
84,11-1021.00,General and Operations Managers,Coaching and Developing Others,1.3106044840988458
85,11-1021.00,General and Operations Managers,Communicating with People Outside the Organization,0.5614852271576507
86,11-1021.00,General and Operations Managers,"Communicating with Supervisors, Peers, or Subordinates",0.7032189566230935
87,11-1021.00,General and Operations Managers,Controlling Machines and Processes,-0.7416477470751502
88,11-1021.00,General and Operations Managers,Coordinating the Work and Activities of Others,1.5379660467867136
89,11-1021.00,General and Operations Managers,Developing Objectives and Strategies,0.6626627774929845
90,11-1021.00,General and Operations Managers,Developing and Building Teams,1.1840981145915426
91,11-1021.00,General and Operations Managers,Documenting/Recording Information,-0.054701665323098655
92,11-1021.00,General and Operations Managers,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",-0.28933051650390196
93,11-1021.00,General and Operations Managers,Establishing and Maintaining Interpersonal Relationships,1.1026191321292227
94,11-1021.00,General and Operations Managers,"Estimating the Quantifiable Characteristics of Products, Events, or Information",0.0511726692503183
95,11-1021.00,General and Operations Managers,Evaluating Information to Determine Compliance with Standards,-0.16734765470806207
96,11-1021.00,General and Operations Managers,Getting Information,0.03699924250015913
97,11-1021.00,General and Operations Managers,"Guiding, Directing, and Motivating Subordinates",2.0967051234059886
98,11-1021.00,General and Operations Managers,Handling and Moving Objects,-0.8388493427012801
99,11-1021.00,General and Operations Managers,"Identifying Objects, Actions, and Events",-0.2235112545126207
100,11-1021.00,General and Operations Managers,"Inspecting Equipment, Structures, or Materials",-0.7839607984721165
101,11-1021.00,General and Operations Managers,Interpreting the Meaning of Information for Others,-0.11458920396760051
102,11-1021.00,General and Operations Managers,"Judging the Qualities of Objects, Services, or People",1.0085450102692126
103,11-1021.00,General and Operations Managers,Making Decisions and Solving Problems,0.6081518027376067
104,11-1021.00,General and Operations Managers,"Monitoring Processes, Materials, or Surroundings",-0.022078318271957317
105,11-1021.00,General and Operations Managers,Monitoring and Controlling Resources,2.3482512534023496
106,11-1021.00,General and Operations Managers,"Operating Vehicles, Mechanized Devices, or Equipment",-0.4585277170581534
107,11-1021.00,General and Operations Managers,"Organizing, Planning, and Prioritizing Work",0.48297277166546254
108,11-1021.00,General and Operations Managers,Performing Administrative Activities,0.9966181071241165
109,11-1021.00,General and Operations Managers,Performing General Physical Activities,-0.8216190531149777
110,11-1021.00,General and Operations Managers,Performing for or Working Directly with the Public,-0.5927167210642904
111,11-1021.00,General and Operations Managers,Processing Information,0.2601407650100037
112,11-1021.00,General and Operations Managers,Providing Consultation and Advice to Others,1.0395160720607397
113,11-1021.00,General and Operations Managers,Repairing and Maintaining Electronic Equipment,-0.2783971736354493
114,11-1021.00,General and Operations Managers,Repairing and Maintaining Mechanical Equipment,-0.41514492307958456
115,11-1021.00,General and Operations Managers,Resolving Conflicts and Negotiating with Others,1.5967346676572847
116,11-1021.00,General and Operations Managers,Scheduling Work and Activities,0.7560342534994452
117,11-1021.00,General and Operations Managers,Selling or Influencing Others,1.5242213848296904
118,11-1021.00,General and Operations Managers,Staffing Organizational Units,2.7438492990125387
119,11-1021.00,General and Operations Managers,Thinking Creatively,0.13453320885070238
120,11-1021.00,General and Operations Managers,Training and Teaching Others,0.07906259431477809
121,11-1021.00,General and Operations Managers,Updating and Using Relevant Knowledge,-0.310622715692626
122,11-1021.00,General and Operations Managers,Working with Computers,0.9741529117305161
123,11-2011.00,Advertising and Promotions Managers,Analyzing Data or Information,-0.034400357145424824
124,11-2011.00,Advertising and Promotions Managers,Assisting and Caring for Others,-0.7194526719720423
125,11-2011.00,Advertising and Promotions Managers,Coaching and Developing Others,-0.5113477255838345
126,11-2011.00,Advertising and Promotions Managers,Communicating with People Outside the Organization,2.003222214332767
127,11-2011.00,Advertising and Promotions Managers,"Communicating with Supervisors, Peers, or Subordinates",0.8811387959891379
128,11-2011.00,Advertising and Promotions Managers,Controlling Machines and Processes,-0.9251698254938345
129,11-2011.00,Advertising and Promotions Managers,Coordinating the Work and Activities of Others,0.1524635733264159
130,11-2011.00,Advertising and Promotions Managers,Developing Objectives and Strategies,0.610200085230719
131,11-2011.00,Advertising and Promotions Managers,Developing and Building Teams,-0.060580836757457526
132,11-2011.00,Advertising and Promotions Managers,Documenting/Recording Information,-0.6111777478177621
133,11-2011.00,Advertising and Promotions Managers,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",-0.8374896704596821
134,11-2011.00,Advertising and Promotions Managers,Establishing and Maintaining Interpersonal Relationships,0.7915166488096421
135,11-2011.00,Advertising and Promotions Managers,"Estimating the Quantifiable Characteristics of Products, Events, or Information",-0.5352396721196228
136,11-2011.00,Advertising and Promotions Managers,Evaluating Information to Determine Compliance with Standards,-1.6714703409081282
137,11-2011.00,Advertising and Promotions Managers,Getting Information,0.4594767785706232
138,11-2011.00,Advertising and Promotions Managers,"Guiding, Directing, and Motivating Subordinates",0.06169496434963688
139,11-2011.00,Advertising and Promotions Managers,Handling and Moving Objects,-0.8572248727787188
140,11-2011.00,Advertising and Promotions Managers,"Identifying Objects, Actions, and Events",-0.4451546730259824
141,11-2011.00,Advertising and Promotions Managers,"Inspecting Equipment, Structures, or Materials",-1.484728922446748
142,11-2011.00,Advertising and Promotions Managers,Interpreting the Meaning of Information for Others,-0.4833170263604425
143,11-2011.00,Advertising and Promotions Managers,"Judging the Qualities of Objects, Services, or People",0.10950498239750087
144,11-2011.00,Advertising and Promotions Managers,Making Decisions and Solving Problems,-0.34081439687309883
145,11-2011.00,Advertising and Promotions Managers,"Monitoring Processes, Materials, or Surroundings",-1.3571293748246436
146,11-2011.00,Advertising and Promotions Managers,Monitoring and Controlling Resources,0.01884628119628901
147,11-2011.00,Advertising and Promotions Managers,"Operating Vehicles, Mechanized Devices, or Equipment",-0.6812715810491864
148,11-2011.00,Advertising and Promotions Managers,"Organizing, Planning, and Prioritizing Work",1.254647201603699
149,11-2011.00,Advertising and Promotions Managers,Performing Administrative Activities,0.7005166781139068
150,11-2011.00,Advertising and Promotions Managers,Performing General Physical Activities,-1.046043017386944
151,11-2011.00,Advertising and Promotions Managers,Performing for or Working Directly with the Public,0.3281170152744457
152,11-2011.00,Advertising and Promotions Managers,Processing Information,-0.13156801961820241
153,11-2011.00,Advertising and Promotions Managers,Providing Consultation and Advice to Others,-0.8360898500742854
154,11-2011.00,Advertising and Promotions Managers,Repairing and Maintaining Electronic Equipment,-0.8928560671951684
155,11-2011.00,Advertising and Promotions Managers,Repairing and Maintaining Mechanical Equipment,-0.863653865154733
156,11-2011.00,Advertising and Promotions Managers,Resolving Conflicts and Negotiating with Others,-0.20266224222531903
157,11-2011.00,Advertising and Promotions Managers,Scheduling Work and Activities,0.4558082884877925
158,11-2011.00,Advertising and Promotions Managers,Selling or Influencing Others,2.1666500756363725
159,11-2011.00,Advertising and Promotions Managers,Staffing Organizational Units,0.06913197800313667
160,11-2011.00,Advertising and Promotions Managers,Thinking Creatively,0.8785550353721634
161,11-2011.00,Advertising and Promotions Managers,Training and Teaching Others,-0.8637927333278351
162,11-2011.00,Advertising and Promotions Managers,Updating and Using Relevant Knowledge,-0.11833954939388139
163,11-2011.00,Advertising and Promotions Managers,Working with Computers,0.9190320917662547
164,11-2021.00,Marketing Managers,Analyzing Data or Information,0.24158180892005612
165,11-2021.00,Marketing Managers,Assisting and Caring for Others,-0.6290272950263273
166,11-2021.00,Marketing Managers,Coaching and Developing Others,0.2824333768350793
167,11-2021.00,Marketing Managers,Communicating with People Outside the Organization,1.783872771291863
168,11-2021.00,Marketing Managers,"Communicating with Supervisors, Peers, or Subordinates",1.5585497526690357
169,11-2021.00,Marketing Managers,Controlling Machines and Processes,-1.220937738406304
170,11-2021.00,Marketing Managers,Coordinating the Work and Activities of Others,1.6947016880411379
171,11-2021.00,Marketing Managers,Developing Objectives and Strategies,1.356069323931212
172,11-2021.00,Marketing Managers,Developing and Building Teams,1.7639008678736023
173,11-2021.00,Marketing Managers,Documenting/Recording Information,-1.0493045192379231
174,11-2021.00,Marketing Managers,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",-0.813210967774633
175,11-2021.00,Marketing Managers,Establishing and Maintaining Interpersonal Relationships,2.0878491653472957
176,11-2021.00,Marketing Managers,"Estimating the Quantifiable Characteristics of Products, Events, or Information",0.39972853503219347
177,11-2021.00,Marketing Managers,Evaluating Information to Determine Compliance with Standards,-1.2993433374329224
178,11-2021.00,Marketing Managers,Getting Information,0.7280448781595814
179,11-2021.00,Marketing Managers,"Guiding, Directing, and Motivating Subordinates",1.3336055378555047
180,11-2021.00,Marketing Managers,Handling and Moving Objects,-1.3659080363043754
181,11-2021.00,Marketing Managers,"Identifying Objects, Actions, and Events",0.6820508246143746
182,11-2021.00,Marketing Managers,"Inspecting Equipment, Structures, or Materials",-1.6315642662037855
183,11-2021.00,Marketing Managers,Interpreting the Meaning of Information for Others,-0.24597895299874267
184,11-2021.00,Marketing Managers,"Judging the Qualities of Objects, Services, or People",-0.0007052801271500986
185,11-2021.00,Marketing Managers,Making Decisions and Solving Problems,0.4495986448031141
186,11-2021.00,Marketing Managers,"Monitoring Processes, Materials, or Surroundings",-0.6753329628721653
187,11-2021.00,Marketing Managers,Monitoring and Controlling Resources,1.0966313892375297
188,11-2021.00,Marketing Managers,"Operating Vehicles, Mechanized Devices, or Equipment",-0.724476937301425
189,11-2021.00,Marketing Managers,"Organizing, Planning, and Prioritizing Work",1.7149925655050722
190,11-2021.00,Marketing Managers,Performing Administrative Activities,-0.16984562133709394
191,11-2021.00,Marketing Managers,Performing General Physical Activities,-1.2148999424753202
192,11-2021.00,Marketing Managers,Performing for or Working Directly with the Public,-0.1902902697164354
193,11-2021.00,Marketing Managers,Processing Information,-0.34306321975648557
194,11-2021.00,Marketing Managers,Providing Consultation and Advice to Others,0.6246795335642832
195,11-2021.00,Marketing Managers,Repairing and Maintaining Electronic Equipment,-0.9537897480721951
196,11-2021.00,Marketing Managers,Repairing and Maintaining Mechanical Equipment,-0.9433865706209792
197,11-2021.00,Marketing Managers,Resolving Conflicts and Negotiating with Others,1.4412326817143188
198,11-2021.00,Marketing Managers,Scheduling Work and Activities,0.43475665695802634
199,11-2021.00,Marketing Managers,Selling or Influencing Others,3.6381108646991662
200,11-2021.00,Marketing Managers,Staffing Organizational Units,-0.026804011490626223
201,11-2021.00,Marketing Managers,Thinking Creatively,1.0427591698480985
202,11-2021.00,Marketing Managers,Training and Teaching Others,-0.3652723641423276
203,11-2021.00,Marketing Managers,Updating and Using Relevant Knowledge,-0.060391665677140716
204,11-2021.00,Marketing Managers,Working with Computers,0.21161633693557003
205,11-2022.00,Sales Managers,Analyzing Data or Information,0.7965302775102499
206,11-2022.00,Sales Managers,Assisting and Caring for Others,-0.014858245694385463
207,11-2022.00,Sales Managers,Coaching and Developing Others,2.869614705565836
208,11-2022.00,Sales Managers,Communicating with People Outside the Organization,2.0071701884695723
209,11-2022.00,Sales Managers,"Communicating with Supervisors, Peers, or Subordinates",1.7418803921589119
210,11-2022.00,Sales Managers,Controlling Machines and Processes,-1.1057168471151855
211,11-2022.00,Sales Managers,Coordinating the Work and Activities of Others,2.373593459933532
212,11-2022.00,Sales Managers,Developing Objectives and Strategies,1.9288486237241607
213,11-2022.00,Sales Managers,Developing and Building Teams,3.223271985757375
214,11-2022.00,Sales Managers,Documenting/Recording Information,0.03524940680563052
215,11-2022.00,Sales Managers,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",-0.7975447102395887
216,11-2022.00,Sales Managers,Establishing and Maintaining Interpersonal Relationships,2.0113233868361915
217,11-2022.00,Sales Managers,"Estimating the Quantifiable Characteristics of Products, Events, or Information",-0.015639533742308805
218,11-2022.00,Sales Managers,Evaluating Information to Determine Compliance with Standards,-0.09584684518837056
219,11-2022.00,Sales Managers,Getting Information,0.3494392656288832
220,11-2022.00,Sales Managers,"Guiding, Directing, and Motivating Subordinates",3.341982804411664
221,11-2022.00,Sales Managers,Handling and Moving Objects,-1.3911361078065256
222,11-2022.00,Sales Managers,"Identifying Objects, Actions, and Events",0.05411015019654374
223,11-2022.00,Sales Managers,"Inspecting Equipment, Structures, or Materials",-1.5066628327175087
224,11-2022.00,Sales Managers,Interpreting the Meaning of Information for Others,0.22928483532779537
225,11-2022.00,Sales Managers,"Judging the Qualities of Objects, Services, or People",2.0804599352122346
226,11-2022.00,Sales Managers,Making Decisions and Solving Problems,1.3878671933683906
227,11-2022.00,Sales Managers,"Monitoring Processes, Materials, or Surroundings",-0.8357164608166506
228,11-2022.00,Sales Managers,Monitoring and Controlling Resources,1.3133235797014828
229,11-2022.00,Sales Managers,"Operating Vehicles, Mechanized Devices, or Equipment",-0.6385387833809567
230,11-2022.00,Sales Managers,"Organizing, Planning, and Prioritizing Work",1.0705330136473081
231,11-2022.00,Sales Managers,Performing Administrative Activities,0.9563952199357992
232,11-2022.00,Sales Managers,Performing General Physical Activities,-1.3520356995103562
233,11-2022.00,Sales Managers,Performing for or Working Directly with the Public,0.7202766518583589
234,11-2022.00,Sales Managers,Processing Information,0.1422772771189873
235,11-2022.00,Sales Managers,Providing Consultation and Advice to Others,2.888652413635096
236,11-2022.00,Sales Managers,Repairing and Maintaining Electronic Equipment,-0.9592943952110684
237,11-2022.00,Sales Managers,Repairing and Maintaining Mechanical Equipment,-0.9790118219995146
238,11-2022.00,Sales Managers,Resolving Conflicts and Negotiating with Others,2.632213383120323
239,11-2022.00,Sales Managers,Scheduling Work and Activities,0.6407307115106814
240,11-2022.00,Sales Managers,Selling or Influencing Others,5.285198390184956
241,11-2022.00,Sales Managers,Staffing Organizational Units,3.330232798318921
242,11-2022.00,Sales Managers,Thinking Creatively,0.5416113624432431
243,11-2022.00,Sales Managers,Training and Teaching Others,1.8205827894119375
244,11-2022.00,Sales Managers,Updating and Using Relevant Knowledge,0.16035323372584895
245,11-2022.00,Sales Managers,Working with Computers,0.49899102852007804
246,11-2033.00,Fundraising Managers,Analyzing Data or Information,-0.011276903615909906
247,11-2033.00,Fundraising Managers,Assisting and Caring for Others,-0.5913408143525993
248,11-2033.00,Fundraising Managers,Coaching and Developing Others,-0.40225477302626134
249,11-2033.00,Fundraising Managers,Communicating with People Outside the Organization,1.211732359386035
250,11-2033.00,Fundraising Managers,"Communicating with Supervisors, Peers, or Subordinates",0.8995779540582007
251,11-2033.00,Fundraising Managers,Controlling Machines and Processes,-1.1273068620977034
252,11-2033.00,Fundraising Managers,Coordinating the Work and Activities of Others,0.06683301254394983
253,11-2033.00,Fundraising Managers,Developing Objectives and Strategies,1.2658811119592266
254,11-2033.00,Fundraising Managers,Developing and Building Teams,0.2837300515272084
255,11-2033.00,Fundraising Managers,Documenting/Recording Information,0.1153730095454896
256,11-2033.00,Fundraising Managers,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",-0.952748565181793
257,11-2033.00,Fundraising Managers,Establishing and Maintaining Interpersonal Relationships,1.3871895296892927
258,11-2033.00,Fundraising Managers,"Estimating the Quantifiable Characteristics of Products, Events, or Information",-1.2821774533727912
259,11-2033.00,Fundraising Managers,Evaluating Information to Determine Compliance with Standards,0.2094851404189705
260,11-2033.00,Fundraising Managers,Getting Information,0.4271867334796538
261,11-2033.00,Fundraising Managers,"Guiding, Directing, and Motivating Subordinates",-0.3328692923540089
262,11-2033.00,Fundraising Managers,Handling and Moving Objects,-1.1409736830578372
263,11-2033.00,Fundraising Managers,"Identifying Objects, Actions, and Events",-1.3605680375285243
264,11-2033.00,Fundraising Managers,"Inspecting Equipment, Structures, or Materials",-1.2449114004277042
265,11-2033.00,Fundraising Managers,Interpreting the Meaning of Information for Others,-0.2879261933168935
266,11-2033.00,Fundraising Managers,"Judging the Qualities of Objects, Services, or People",-0.9481210977352026
267,11-2033.00,Fundraising Managers,Making Decisions and Solving Problems,-0.29666361025605165
268,11-2033.00,Fundraising Managers,"Monitoring Processes, Materials, or Surroundings",-1.0082161575933906
269,11-2033.00,Fundraising Managers,Monitoring and Controlling Resources,-0.22206444820187055
270,11-2033.00,Fundraising Managers,"Operating Vehicles, Mechanized Devices, or Equipment",-0.6872291946261552
271,11-2033.00,Fundraising Managers,"Organizing, Planning, and Prioritizing Work",1.2248998431071672
272,11-2033.00,Fundraising Managers,Performing Administrative Activities,1.2322796642484402
273,11-2033.00,Fundraising Managers,Performing General Physical Activities,-0.7908657986499502
274,11-2033.00,Fundraising Managers,Performing for or Working Directly with the Public,0.1950198710553543
275,11-2033.00,Fundraising Managers,Processing Information,0.6050254960261986
276,11-2033.00,Fundraising Managers,Providing Consultation and Advice to Others,-0.371902005082972
277,11-2033.00,Fundraising Managers,Repairing and Maintaining Electronic Equipment,-0.946542316897076
278,11-2033.00,Fundraising Managers,Repairing and Maintaining Mechanical Equipment,-0.9810575297117277
279,11-2033.00,Fundraising Managers,Resolving Conflicts and Negotiating with Others,-0.32342108924349644
280,11-2033.00,Fundraising Managers,Scheduling Work and Activities,-0.09649131007997674
281,11-2033.00,Fundraising Managers,Selling or Influencing Others,1.1331475925373025
282,11-2033.00,Fundraising Managers,Staffing Organizational Units,-0.1333580138511969
283,11-2033.00,Fundraising Managers,Thinking Creatively,0.3131050003091176
284,11-2033.00,Fundraising Managers,Training and Teaching Others,-0.38817942434928593
285,11-2033.00,Fundraising Managers,Updating and Using Relevant Knowledge,0.5722202929182306
286,11-2033.00,Fundraising Managers,Working with Computers,0.5840646551663076
287,11-3012.00,Administrative Services Managers,Analyzing Data or Information,-0.05539022518717863
288,11-3012.00,Administrative Services Managers,Assisting and Caring for Others,0.18153003847848967
289,11-3012.00,Administrative Services Managers,Coaching and Developing Others,0.9498584660719249
290,11-3012.00,Administrative Services Managers,Communicating with People Outside the Organization,0.4346131302972748
291,11-3012.00,Administrative Services Managers,"Communicating with Supervisors, Peers, or Subordinates",1.041659199662855
292,11-3012.00,Administrative Services Managers,Controlling Machines and Processes,-0.1541435402746348
293,11-3012.00,Administrative Services Managers,Coordinating the Work and Activities of Others,1.5640992253366215
294,11-3012.00,Administrative Services Managers,Developing Objectives and Strategies,-0.09825151340948013
295,11-3012.00,Administrative Services Managers,Developing and Building Teams,0.8077173049648323
296,11-3012.00,Administrative Services Managers,Documenting/Recording Information,0.35180933268945314
297,11-3012.00,Administrative Services Managers,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",-0.16847652980498987
298,11-3012.00,Administrative Services Managers,Establishing and Maintaining Interpersonal Relationships,0.9620069506263073
299,11-3012.00,Administrative Services Managers,"Estimating the Quantifiable Characteristics of Products, Events, or Information",0.17234056281321825
300,11-3012.00,Administrative Services Managers,Evaluating Information to Determine Compliance with Standards,0.18823129630555646
301,11-3012.00,Administrative Services Managers,Getting Information,1.051950767599051
302,11-3012.00,Administrative Services Managers,"Guiding, Directing, and Motivating Subordinates",1.7933590105837598
303,11-3012.00,Administrative Services Managers,Handling and Moving Objects,0.1791422628040565
304,11-3012.00,Administrative Services Managers,"Identifying Objects, Actions, and Events",0.19973693379710658
305,11-3012.00,Administrative Services Managers,"Inspecting Equipment, Structures, or Materials",-0.31552964995813704
306,11-3012.00,Administrative Services Managers,Interpreting the Meaning of Information for Others,-0.4377748021172092
307,11-3012.00,Administrative Services Managers,"Judging the Qualities of Objects, Services, or People",0.41626233031477794
308,11-3012.00,Administrative Services Managers,Making Decisions and Solving Problems,0.3465923965924848
309,11-3012.00,Administrative Services Managers,"Monitoring Processes, Materials, or Surroundings",0.278911377117628
310,11-3012.00,Administrative Services Managers,Monitoring and Controlling Resources,1.9874743889018227
311,11-3012.00,Administrative Services Managers,"Operating Vehicles, Mechanized Devices, or Equipment",-0.16868053413786224
312,11-3012.00,Administrative Services Managers,"Organizing, Planning, and Prioritizing Work",1.4024456545901622
313,11-3012.00,Administrative Services Managers,Performing Administrative Activities,2.0268399978728273
314,11-3012.00,Administrative Services Managers,Performing General Physical Activities,0.16034394758569032
315,11-3012.00,Administrative Services Managers,Performing for or Working Directly with the Public,-0.06716278209156283
316,11-3012.00,Administrative Services Managers,Processing Information,0.1800349085855344
317,11-3012.00,Administrative Services Managers,Providing Consultation and Advice to Others,0.45015603351904393
318,11-3012.00,Administrative Services Managers,Repairing and Maintaining Electronic Equipment,0.20973113076031943
319,11-3012.00,Administrative Services Managers,Repairing and Maintaining Mechanical Equipment,0.042993813835980416
320,11-3012.00,Administrative Services Managers,Resolving Conflicts and Negotiating with Others,1.2510267261125443
321,11-3012.00,Administrative Services Managers,Scheduling Work and Activities,2.15188408311683
322,11-3012.00,Administrative Services Managers,Selling or Influencing Others,-0.18385730679507217
